gene_symbol	Brain - Substantia nigra
DDX11L1	0.0
WASH7P	1.74194
MIR6859-1	0.0
MIR1302-2HG	0.0195261
FAM138A	0.0
OR4G4P	0.0466989
OR4G11P	0.0664603
OR4F5	0.0731943
RP11-34P13.7	0.0191066
CICP27	0.0156567
RP11-34P13.15	1.82961
RP11-34P13.16	1.56403
RP11-34P13.14	0.0
RP11-34P13.13	0.0416536
RNU6-1100P	0.0
RP11-34P13.9	0.0
ABC7-43046700E7.1	0.0437139
RP11-34P13.18	3.28063
MIR6859-2	0.0
AP006222.2	0.335763
RPL23AP24	0.0685022
RP5-857K21.15	0.0
RP4-669L17.2	0.0256964
RP4-669L17.10	0.103633
WBP1LP7	0.102179
OR4F29	0.0548525
CICP7	0.0102984
RP4-669L17.8	0.0
U6	0.0
RP5-857K21.4	0.0448424
RP5-857K21.2	0.0
MTND1P23	17.1952
MTND2P28	1439.56
MTCO1P12	110.767
MTCO2P12	30.1715
MTATP8P1	20.8431
MTATP6P1	6203.24
MTCO3P12	32.9327
WBP1LP6	0.0580396
OR4F16	0.0466089
RP11-206L10.17	0.0
CICP3	0.101911
RP11-206L10.2	0.580468
RNU6-1199P	0.0
RP11-206L10.4	0.0543822
RP11-206L10.9	0.34027
RP11-206L10.8	0.340811
FAM87B	0.213814
LINC01128	2.63819
LINC00115	1.84981
FAM41C	0.0682972
TUBB8P11	0.0794597
FAM166AP3	0.0506367
RP11-54O7.16	0.227427
RP11-54O7.1	0.134668
RP11-54O7.2	0.0
RP11-54O7.3	0.678045
SAMD11	1.18443
NOC2L	20.9584
KLHL17	3.49978
PLEKHN1	0.092623
PERM1	0.0919546
RP11-54O7.17	2.70109
HES4	15.6502
ISG15	29.0058
RP11-54O7.10	0.0
RP11-54O7.11	0.255219
AGRN	14.3809
RP11-465B22.3	0.355363
RP11-54O7.18	0.0691715
RNF223	0.0552651
C1ORF159	4.32624
LINC01342	0.0727587
MIR200B	0.0
MIR200A	0.0
MIR429	0.0
RP11-465B22.8	0.0949433
TTLL10-AS1	0.0482637
TTLL10	0.0866781
TNFRSF18	0.348821
TNFRSF4	0.536857
SDF4	46.0056
B3GALT6	8.18991
C1QTNF12	0.756617
RP5-902P8.12	0.301147
UBE2J2	12.3794
LINC01786	2.57105
SCNN1D	7.04286
ACAP3	37.3416
MIR6726	0.0
PUSL1	7.148
INTS11	22.0576
MIR6727	0.0
RP5-890O3.9	7.32582
CPTP	14.6726
TAS1R3	0.299847
DVL1	47.6241
MIR6808	0.0
MXRA8	9.6449
AURKAIP1	70.594
NDUFB4P8	0.149046
CCNL2	41.7497
RP4-758J18.2	14.415
MRPL20	50.1701
RP4-758J18.13	3.22624
ANKRD65	13.0991
RP4-758J18.7	2.57555
TMEM88B	23.7514
LINC01770	0.740784
VWA1	19.9051
ATAD3C	1.78754
ATAD3B	8.93068
ATAD3A	7.58681
TMEM240	7.00453
SSU72	25.9082
RP5-832C2.5	1.33005
RP11-345P4.11	0.0583064
FNDC10	13.5844
RP11-345P4.9	14.9755
MIB2	17.3554
MMP23B	0.0738528
CDK11B	17.6995
RP11-345P4.10	0.0
SLC35E2B	7.84823
RP11-345P4.6	0.411932
MMP23A	0.0640678
CDK11A	6.90105
RP1-283E3.4	1.92174
SLC35E2	1.27653
NADK	9.95669
GNB1	149.589
RP1-140A9.1	1.39654
CALML6	0.304622
TMEM52	0.312745
CFAP74	0.25736
RP11-547D24.1	0.113754
GABRD	4.04068
RP11-547D24.3	0.0
PRKCZ	14.0735
RP5-892K4.1	0.0367853
PRKCZ-AS1	3.66585
FAAP20	5.36773
RP11-181G12.4	0.0
SKI	15.8805
MORN1	0.754543
RP4-713A8.1	0.149547
RP4-740C4.5	0.829355
RP4-740C4.7	1.20487
RER1	21.0785
PEX10	15.1282
PLCH2	10.3161
RP3-395M20.2	0.662901
RP3-395M20.3	0.730236
PANK4	5.32553
HES5	2.47095
RP3-395M20.12	2.17685
RP3-395M20.8	0.449037
TNFRSF14	9.40561
RP3-395M20.7	0.0421768
RP3-395M20.9	0.250451
FAM213B	19.0033
MMEL1	0.743627
RP13-436F16.1	0.300907
TTC34	0.282339
ABC14-1188822O7.1	0.0
RP11-740P5.2	0.0
RP11-740P5.3	0.0
ACTRT2	0.0
LINC00982	3.15036
PRDM16	1.66818
MIR4251	0.0
RP1-163G9.2	0.0
RP11-193J6.1	0.00941299
RP11-22L13.1	0.0812218
ARHGEF16	2.03922
RP11-168F9.2	0.125526
MEGF6	1.77938
MIR551A	0.0
RP11-46F15.2	2.81778
TPRG1L	47.5354
WRAP73	9.47752
TP73	0.446307
RP5-1092A11.5	0.0
RP5-1092A11.2	0.0
TP73-AS1	7.54177
CCDC27	0.0268591
SMIM1	1.41401
LRRC47	16.3213
RN7SL574P	0.14597
RP1-286D6.5	1.34874
CEP104	8.89636
DFFB	3.55897
C1ORF174	8.10585
LINC01134	0.0967238
LINC01346	0.0240644
LINC01345	0.0
EEF1DP6	0.0
LINC01777	0.0
RP1-37J18.1	0.0
LINC01646	0.0
AJAP1	3.73011
RP11-542C10.1	0.0
RP1-58B11.1	0.0
RP3-491M17.1	0.0
RP11-154H17.1	0.386778
MIR4417	0.0
MIR4689	0.0
NPHP4	3.09932
KCNAB2	15.7664
CHD5	9.79584
RPL22	93.4428
RP1-120G22.11	0.551807
RNF207	2.53704
ICMT	15.591
LINC00337	0.0266309
HES3	0.0
GPR153	1.82766
ACOT7	37.0248
HES2	0.00271351
ESPN	0.118699
MIR4252	0.0
RP1-202O8.2	0.0
